original_id,original,generation,system,sentence_type,rating_1,rating_2,rating_3,rating_1_zscore,rating_2_zscore,rating_3_zscore
21,"In a difficult situation, it encouraged him to study Graphic Design in 2007, and he's been since as a Cinematographer in the film industry, also having a lot of experience with photography and experience in the field of graphic design.","A hard situation encouraged him to study Graphic Design in 2007. Since then, he’s been a Cinematographer in the film industry. He also has a lot of experience with photography and graphic design.",Human 1 Writing,Splittings,85.0,85.0,85.0,0.3067774933440179,0.884492067489052,0.1297754303601854
33,"The film centers on a reclusive wealthy family who has spent months living in virtual isolation in the family mansion to prevent their community from finding out that daughter Hélène has gotten pregnant from a one-night stand, only to have their fragile equilibrium challenged when Hélène abandons the house soon after the baby's birth to look for the father.",The movie is about a reclusive family who spend months living in virtual isolation in the family mansion to prevent their community from finding out that daughter Hesseen has gotten pregnant from a one-night stand. Their fragile equilibrium is challenged when Hesseen leaves the house soon after the baby's birth to look for the father.,T5-3B,Splittings,80.0,50.0,75.0,-0.0449039595179712,-1.098658878873436,-0.8489187869043615
50,"On November 9, Fetterman was projected as the winner of the election by media outlets.","On Novermber 9, media outlets predicted Fetterman would win the US Senate election in Pennsylvania.",Human 1 Writing,Paraphrases,100.0,40.0,60.0,1.3618218519299852,-1.6652734349770038,-0.2885110278801416
23,"An activist hiding his identity said the Egyptian authorities were carrying out random detentions ahead of COP, where they are randomly stopping people and inspecting their mobile phones to look for any evidence of dissent.","An activist hiding his identity said Egyptian authorities were randomly interrogating people ahead of COP, such as randomly stopping people and inspecting their phones for dissent.",Human 2 Writing,Paraphrases,70.0,50.0,90.0,-0.7482668652419494,-1.098658878873436,0.4411829342823797
59,"Divided into sections pertaining to each season and covering self-reliance, growing and gardening, cooking, health and beauty, and wilderness, and with photos and illustrations evocative of the great outdoors, A Wilder Life shows that getting in touch with nature is possible.","A Wilder Life demonstrates that people can reconnect with nature by looking at sections devoted to each season. These sections discuss self-reliance, gardening and growing, cooking, health and beauty, and wilderness. Images and illustrations reflect the beauty of the outdoors.",GPT-3-zero-shot,Splittings,63.0,80.0,60.0,-1.2406208992487342,0.6011847894372679,-0.2885110278801416
23,"An activist hiding his identity said the Egyptian authorities were carrying out random detentions ahead of COP, where they are randomly stopping people and inspecting their mobile phones to look for any evidence of dissent.",An anonymous activist stated that the Egyptian government was arresting people randomly before COP; they were stopping individuals and searching their phones for signs of disagreement.,GPT-3-zero-shot,Paraphrases,82.0,45.0,85.0,0.0957686216268244,-1.3819661569252195,0.0111490272201326
37,"According to the eyewitness account, the shooter ""snapped,"" before shooting a woman, proceeding to kill employees within the break room before firing at least ten shots in the grocery aisles.","According to people who saw it happen, the shooter “snapped” before shooting a woman. He then killed workers in the break room before firing at least ten shots in the grocery aisles.",Human 1 Writing,Splittings,88.0,90.0,52.0,0.5177863650612113,1.167799345540836,-0.7949270093068882
54,"About 80 percent of buildings in the area were reconstructed or retrofitted after the 1999 earthquakes, reducing the impact of this earthquake.","Because most buildings in the area were rebuilt after 1999, this earthquake doesn’t have much impact.",Human 1 Writing,Paraphrases,96.0,90.0,100.0,1.080476689640394,1.167799345540836,1.4117034619668944
5,"Nasepia has an appearance similar to that of most other Erniettomorphs from Namibia, with it having a leaf-like body with thin ribs and spindle-shaped bodies, however it differentiates itself from other taxa such as Pteridinium and Rangea in the sense that it has smaller petaloids and with the configuration of the ribs being sub-parallel to its axis.","Nasepia looks like most other Erniettomorphs from Namibia, with a leaf-like body and thin ribs and spindle-shaped bodies. However, it has smaller petaloids and the configuration of its ribs run close to its axis, which sets it apart from Pteridinium and Rangea.",GPT-3-few-shot,Splittings,90.0,80.0,90.0,0.658458946206007,0.6011847894372679,0.5570847742290884
49,United began seeking legal action over whether Ronaldo had breached his contract and was looking to terminate his contract.,"United started looking for legal options regarding whether Ronaldo broke his contract, with the aim of ending it.",GPT-3-few-shot,Paraphrases,88.0,70.0,100.0,0.5177863650612113,0.0345702333337,1.3012507484068738
36,"In the opening game of their group, they defeated a much fancied Argentina side 2-1, ending an Argentine unbeaten streak of 36 games dating back to 2019.","In the opening game of their group, they defeated Argentina side 2-1. The win ended Argentina's 36 game unbeaten streak, the longest in the world.",Muss,Splittings,45.0,80.0,60.0,-2.506674129551895,0.6011847894372679,-2.006771288984329
24,"Football fans around the world may find some apprehensions about going to the World Cup in Qatar because of the alcohol laws concerning consuming alcohol in public places, but World Cup organizers announce the creation of designated ""sobering up"" zones as a way to make fans feel safe and comfortable while attending the World Cup.","Football fans may be worried about going to the World Cup in Qatar because of the laws about drinking alcohol in public places, but World Cup organizers have created ""sobering up"" zones to make sure fans feel safe and secure.",GPT-3-few-shot,Paraphrases,82.0,85.0,75.0,0.0957686216268244,0.884492067489052,-0.8489187869043615
54,"About 80 percent of buildings in the area were reconstructed or retrofitted after the 1999 earthquakes, reducing the impact of this earthquake.","To reduce the impact of this earthquake, about 80 percent of buildings were updated after the 1999 earthquakes.",Human 2 Writing,Paraphrases,65.0,50.0,70.0,-1.0999483181039384,-1.098658878873436,-1.1521526012465235
4,"Repeatedly besieged during the War of Restoration of Independence, it was during the siege of the city of Elvas, led by the Spanish commander Don Luis de Haro in 1658, that the fort stood out for its defenders' heroic resistance.","During the War of Restoration of Independence, the fort was repeatedly attacked. The fort stood out for its historic resistance during the siege of the city of Elvas, which Spanish commander Don Luis de Haro led in 1658.",Human 2 Writing,Splittings,89.0,90.0,75.0,0.5881226556336092,1.167799345540836,-0.8489187869043615
12,"On November 5, 2022, FIFA sent out a letter to all participating nations telling them to cease and avoid any further or current discussion of Qatar's poor human rights records to ""respect all opinions and beliefs, without handing out moral lessons to the rest of the world"" and to ""focus on the football.""","On November 5, 2022, FIFA sent a letter to all participating nations. It told them to stop any discussion of Qatar’s poor human rights records, to “respect all opinions and beliefs, without handing out moral lessons to the rest of the world"", and to ""focus on the football.""",Human 2 Writing,Splittings,80.0,75.0,90.0,-0.0449039595179712,0.317877511385484,0.4411829342823797
44,"Widespread blackouts are reported in Western Ukraine as Russian forces launch another wave of cruise missile strikes, including the city of Lviv which has experienced a total blackout.","Russian forces have launched new cruise missile strikes, including in the city of Lviv, which has experienced a complete power cut. There are reports of widespread blackouts in Western Ukraine.",GPT-3-few-shot,Splittings,87.0,60.0,75.0,0.4474500744888135,-0.5320443227698679,-0.8489187869043615
1,"Bone has published numerous books including Fantastic Fungi Community Cookbook (2021), which includes recipes by wild mushroom foragers, mycologists, and chefs specializing in mushroom-based dishes.","Bone has written many books, like the Fantastic Fungi Community Cookbook (2021). It has recipes from foragers, scientists, and chefs who specialize in dishes with mushrooms.",GPT-3-few-shot,Splittings,88.0,95.0,100.0,0.5177863650612113,0.9843941180979914,1.3012507484068738
57,"In the interior, on the facade and the portico, painted decoration is preserved, which was carried out in two time periods, the first with its construction and the second possibly with the change of use of the building after 1913.","In the interior, on the facade and the portico, there is painted decoration. The decoration was carried out in two time periods, the first with its construction and the second possibly with the change of use of the building after 1913.",T5-3B,Splittings,90.0,40.0,58.0,0.658458946206007,-1.6652734349770038,-0.4151150232368283
24,"Football fans around the world may find some apprehensions about going to the World Cup in Qatar because of the alcohol laws concerning consuming alcohol in public places, but World Cup organizers announce the creation of designated ""sobering up"" zones as a way to make fans feel safe and comfortable while attending the World Cup.","Football fans around the world may find some apprehensions about going to the World Cup in Qatar because of the alcohol laws, but World Cup organizers say that they will have ""sobering up"" zones where people will be told not to drink alcohol while watching the games.",Muss,Paraphrases,40.0,60.0,80.0,-2.858355582413884,-0.5320443227698679,-0.4188848798421144
18,"Described as a darkly comedic bio-pic, Emilia Jones was confirmed to be portraying the whistle-blower Reality Winner from a script written by Kerry Howley based on her own 2017 New York Magazine feature, ""Who Is Reality Winner?"" with Fogel also on board to direct.","It is described as a darkly comedic bio-pic. Emilia Jones will play the whistle-blower Reality Winner from a script written by Kerry Howley based on her own 2017 New York Magazine feature, "" Who Is Reality Winner? "".",T5-3B,Splittings,68.0,70.0,60.0,-0.888939446386745,0.0345702333337,-0.2885110278801416
6,"Republicans have blamed the increase in violent crime and homicides in 2020 and 2021 on progressives and liberals, although Biden had previously rejected calls to ""defund the police"", a slogan supported by racial justice protesters.","Republicans have said that progressives and liberals are responsible for the rise in violent crime and homicides in 2020 and 2021, although Biden had previously said no to cutting funds for the police, which many racial justice protesters supported.",GPT-3-few-shot,Paraphrases,78.0,75.0,80.0,-0.1855765406627668,0.317877511385484,-0.4188848798421144
3,"Two sisters, Leah and Chantrelle, and their acquaintance Hosanna catch a steamboat from Saint Ann Parish in Jamaica to the United Kingdom, arriving in London's Notting Hill before moving to the Midlands.","Two sisters, Leah and Chantrelle, and their friend Hosanna travel by steamboat from Jamaica to the United Kingdom. They arrive in London's Notting Hill before going to the Midlands.",Muss,Splittings,90.0,70.0,75.0,0.658458946206007,0.0345702333337,-0.7248432573776206
58,"The Creative Gene is an autobiographical book comprising a variety of short stories, essays, and anecdotes encompassing Kojima's life, many of which focus on the various pop culture media Kojima developed an adoration for and how they have impacted him.","The Creative Gene is an autobiography composed of short stories, essays, and stories from Kojima's life. Many of these focus on the pop culture media he loves and how it has impacted him.",GPT-3-few-shot,Splittings,87.0,65.0,85.0,0.4474500744888135,-0.2487370447180839,1.2940389140784416
15,"Major American and British oil producers reported record profits in 2022, rewarding their shareholders with dividends and stock buybacks rather than following their past practice of plowing profits back into more production.","Major American and British oil producers reported record profits in 2022, rather than following their past practice of plowing profits back into more production, they rewarded their shareholders with dividends and stock buybacks.",Muss,Paraphrases,82.0,60.0,75.0,0.0957686216268244,-0.5320443227698679,-0.8489187869043615
15,"Major American and British oil producers reported record profits in 2022, rewarding their shareholders with dividends and stock buybacks rather than following their past practice of plowing profits back into more production.","American and British oil producers reported record profits in 2022. However, they rewarded their shareholders with the extra money instead of investing the money back into the business.",Human 1 Writing,Splittings,66.0,100.0,100.0,-1.0296120275315408,1.7344139016444038,1.3012507484068738
30,"The club said on social media that customers subdued the gunman, that it was ""devastated by the senseless attack on our community"", and that it offered condolences to the victims and their families.","On social media, the club said customers stopped the gunman. It wrote it was ""devastated by the senseless attack on our community."" It also gave words of support to the victims and their families.",Human 1 Writing,Splittings,100.0,90.0,85.0,1.3618218519299852,0.5570847742290884,1.2940389140784416
5,"Nasepia has an appearance similar to that of most other Erniettomorphs from Namibia, with it having a leaf-like body with thin ribs and spindle-shaped bodies, however it differentiates itself from other taxa such as Pteridinium and Rangea in the sense that it has smaller petaloids and with the configuration of the ribs being sub-parallel to its axis.","Nasepia looks similar to other types of fossils from Namibia, with a leaf-like body, thin ribs, and rod shaped bodies. However, it is different from other similar fossil classes because it has smaller petals and a different rib configuration.",Human 1 Writing,Splittings,100.0,100.0,98.0,1.3618218519299852,1.7344139016444038,1.2407797244193333
50,"On November 9, Fetterman was projected as the winner of the election by media outlets.","On November 9, Fetterman was thought to be the winner of the election by media outlets.",T5-3B,Paraphrases,82.0,67.0,65.0,0.0957686216268244,-0.1354141334973703,0.027998960511575
18,"Described as a darkly comedic bio-pic, Emilia Jones was confirmed to be portraying the whistle-blower Reality Winner from a script written by Kerry Howley based on her own 2017 New York Magazine feature, ""Who Is Reality Winner?"" with Fogel also on board to direct.","Emilia Jones will play the whistle-blower Reality Winner from a script written by Kerry Howley. It is based on her own feature, ""Who Is Reality Winner?"" and Fogel will direct.",Human 1 Writing,Splittings,100.0,95.0,85.0,1.3618218519299852,1.4511066235926198,1.2940389140784416
26,"Blogger DJ Akademiks held a three-hour stream in honor of Takeoff, in which he analyzed videos from the moment of the murder of Kirshnik, and also called for fighting the ideology of violence in hip-hop, including stop imitating rappers YNW Melly and Tay-K, who were convicted of murder.","The blogger DJ Akademiks held a three hour stream to honor Takeoff, where he analyzed videos from the moment of Takeoff’s murder. He also said we have to fight violence in hip-hop, and that we should not copy rappers like YNW Melly and Tay-K, who were murderers.",Human 2 Writing,Splittings,100.0,80.0,70.0,1.3618218519299852,0.6011847894372679,0.3445089489032916
38,"The Iranian team notably made headlines in their opening match against England after refusing to sing the national anthem in solidarity with the Mahsa Amini protests, with some Iranian supporters cheering against their own team or boycotting their team amidst the ongoing protests as they felt the team was representing the government.",The Iranian team notably made headlines in their opening match against England after refusing to sing the national anthem because of the ongoing protests in Iran. Many Iranian people did not want to watch the team play because they thought the team should not be playing because of the protests.,Muss,Splittings,65.0,70.0,95.0,-1.0999483181039384,0.0345702333337,0.9843941180979914
9,"Musk also announced the creation of a ""content moderation council"" with diversified viewpoints to determine how the platform would handle free speech, and declared a moratorium on ""major content decisions or account reinstatements"" until then.",Musk said that he would create a “content moderation council” with many different perspectives to handle free speech on the platform. He also declared that no “major content decisions or account reinstatements” would be made until the council was created.,Human 2 Writing,Splittings,84.0,87.0,63.0,0.23644120277162,0.9978149787097657,-0.0986050348451116
0,"The architecture of Winchester College is a diverse set of architectural styles, reflecting the multiple periods of building from the college's foundation in 1382, through additions in the medieval and Early Modern periods, to a major expansion of accommodation in the Victorian era and then further extensions at the turn of the 20th century and more recently.","The architecture of Winchester College is a diverse set of styles, reflecting the multiple periods of building from the college's foundation in 1382, through additions in the medieval and Early Modern periods, to a major expansion in the Victorian era and then further extensions at the turn of the 20th century and more recently.",T5-3B,Paraphrases,70.0,70.0,52.0,-0.7482668652419494,0.0345702333337,-0.7949270093068882
7,"After defeating PSD candidate Viorica Dăncilă by a landslide in 2019, his second term has been marked by the COVID-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections, in their composition being also his closest political allies, the social democrats, which he has endorsed at governance even more than Ion Iliescu.","In 2019, Klaus Iohannis defeated PSD candidate Viorica Dăncilă by a large margin. His second term has been marked by the COVID-19 pandemic and considerable political instability. He has backed corrupt governments in the 2020 legislative elections, which include his closest allies - the social democrats, who he has even more strongly supported than Ion Iliescu.",GPT-3-few-shot,Splittings,90.0,100.0,60.0,0.658458946206007,1.7344139016444038,-0.2885110278801416
57,"In the interior, on the facade and the portico, painted decoration is preserved, which was carried out in two time periods, the first with its construction and the second possibly with the change of use of the building after 1913.",Painted decoration is preserved in the interior and on the facade. This preservation possibly occurred during its construction and its change of use after 1913.,Human 1 Writing,Splittings,62.0,50.0,65.0,-1.310957189821132,-1.098658878873436,0.027998960511575
47,"The sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.","The sentence included a fine of $400, or $100 for each count of fraud. After the prison term, he was released on supervised release.",Muss,Splittings,53.0,55.0,53.0,-1.9439838049727125,-0.8153516008216519,-0.7316250116285449
39,"The activists called out to the Russian delegation, stating that the Russians were war criminals who didn't have the right to be present at the conference and didn't deserve respect.","The activists shouted at the Russian delegation, saying they were guilty of war crimes and didn't deserve to be there or receive respect.",GPT-3-few-shot,Paraphrases,95.0,80.0,100.0,1.010140399067996,0.6011847894372679,1.3012507484068738
34,"Days prior to the start of the 2022 FIFA World Cup, Qatar was accused of reportedly having paid actors to play the role of fans at the tournament in order to promote the country.","Days before the start of the 2022 FIFA World Cup, Qatar was accused of having paid actors to play the role of fans at the tournament in order to promote the country.",T5-3B,Paraphrases,75.0,50.0,53.0,-0.3965854123799603,-1.098658878873436,-0.7316250116285449
13,"Drone footage released by the Islamic State showed bombs being dropped on an ammunitions facility located in Deir ez-Zor, Syria, an area of contested control between the Islamic State and the Syrian government at the time.",Drone video from the Islamic State showed bombs being dropped on a bullet/rocket storage in a contested part of Syria.,Human 1 Writing,Deletions,100.0,90.0,90.0,1.3618218519299852,1.167799345540836,1.6105489024701585
55,"A Morning Consult poll in mid-November 2022 found that only 28% of Americans supported having an impeachment investigation or investigations into Hunter Biden's business dealings to be a top congressional priority, though it also found more than half of self-identified Republicans supported it as a top congressional priority.","In November 2022, a Morning Consult survey revealed that only 28% of Americans wanted impeachment investigations into Hunter Biden's business affairs to be a primary focus of Congress. However, over half of self-identified Republicans supported that idea.",GPT-3-few-shot,Splittings,90.0,95.0,92.0,0.658458946206007,1.4511066235926198,0.7280085117766496
47,"The sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.",The sentence was a 400$ fine and a three-year supervised release after jail.,Human 2 Writing,Deletions,98.0,100.0,95.0,1.2211492707851896,1.7344139016444038,1.9270588908618749
0,"The architecture of Winchester College is a diverse set of architectural styles, reflecting the multiple periods of building from the college's foundation in 1382, through additions in the medieval and Early Modern periods, to a major expansion of accommodation in the Victorian era and then further extensions at the turn of the 20th century and more recently.","Winchester College was built in several architectural styles over its long history, beginning in 1382. Additions and extensions were made in the medieval and Early Modern periods, and then more additions in the Victorian era and again in the 20th century.",GPT-3-few-shot,Splittings,92.0,80.0,70.0,0.7991315273508026,0.6011847894372679,0.3445089489032916
19,"There is general acknowledgment among the mediators, as well as some outside observers, that this agreement represents a step towards peace, but that true peace had yet to be fully realized.","Many mediators and outside observers agree that this agreement is a step towards peace, but that true peace has not been achieved yet.",GPT-3-zero-shot,Deletions,85.0,60.0,85.0,0.3067774933440179,-0.5320443227698679,0.0111490272201326
12,"On November 5, 2022, FIFA sent out a letter to all participating nations telling them to cease and avoid any further or current discussion of Qatar's poor human rights records to ""respect all opinions and beliefs, without handing out moral lessons to the rest of the world"" and to ""focus on the football.""","On November 5, 2022, FIFA sent out a letter to all participating nations telling them to stop talking about Qatar and to focus on the football. The letter said that they should ""respect all opinions and beliefs, without handing out moral lessons to the rest of the world"".",Muss,Splittings,85.0,80.0,75.0,0.3067774933440179,0.6011847894372679,-0.8489187869043615
47,"The sentence included a fine of $400, or $100 for each count of fraud, and a three-year supervised release after the prison term.",You will receive a fine of $400 for the fraud or $100 for each count. You will also be under supervised release for three years after the prison term.,GPT-3-zero-shot,Splittings,45.0,40.0,25.0,-2.506674129551895,-1.6652734349770038,-2.504080946622158
10,"The book is illustrated with more than 200 newly commissioned color photographs by the British architectural photographer Morley von Sternberg, as well as older images where needed to illustrate buildings that have been significantly altered or demolished.",The book features more than 200 new color photographs taken by the British architectural photographer Morley von Sternberg. It also includes older images of buildings that have been significantly altered or demolished.,GPT-3-few-shot,Splittings,90.0,70.0,80.0,0.658458946206007,0.0345702333337,0.9775289256867248
7,"After defeating PSD candidate Viorica Dăncilă by a landslide in 2019, his second term has been marked by the COVID-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections, in their composition being also his closest political allies, the social democrats, which he has endorsed at governance even more than Ion Iliescu.","His second term has been marked by the COVID-19 pandemic and by tremendous political instability given the corrupt governments he has endorsed after the 2020 legislative elections, in their composition being also his closest political allies, the social democrats, which he has endorsed at governance even more than Ion Iliescu.",Muss,Deletions,70.0,60.0,50.0,-0.7482668652419494,-0.5320443227698679,-0.9215310046635748
35,"According to anonymous sources cited by The Wall Street Journal, FTX had lent $10 billion of its customer assets to Alameda Research in 2022, and Alameda CEO Caroline Ellison disclosed to other Alameda employees that she, Sam Bankman-Fried, Gary Wang, and Nishad Singh knew about that decision.","According to anonymous sources, FTX lent $10 billion of its customer’s money to Alameda Research in 2022. The Alameda CEO told her employees that she and the FTX leadership knew about the lending.",Human 2 Writing,Splittings,95.0,100.0,100.0,1.010140399067996,1.7344139016444038,1.3012507484068738
12,"On November 5, 2022, FIFA sent out a letter to all participating nations telling them to cease and avoid any further or current discussion of Qatar's poor human rights records to ""respect all opinions and beliefs, without handing out moral lessons to the rest of the world"" and to ""focus on the football.""","On 5 November 2022, FIFA sent out a letter to all the nations in the FIFA World Cup, asking them to stop talking about Qatar's human rights problems and to "" focus on the football. """,T5-3B,Deletions,98.0,95.0,100.0,1.2211492707851896,1.4511066235926198,1.3012507484068738
12,"On November 5, 2022, FIFA sent out a letter to all participating nations telling them to cease and avoid any further or current discussion of Qatar's poor human rights records to ""respect all opinions and beliefs, without handing out moral lessons to the rest of the world"" and to ""focus on the football.""","On November 5, 2022, FIFA sent a letter to all of its participating nations. This letter told them to stop discussing Qatar’s poor human rights records to “respect all opinions and beliefs, without handing out moral lessons to the rest of the world” and to “focus on the football.”.",Human 1 Writing,Splittings,80.0,73.0,85.0,-0.0449039595179712,0.2045546001647704,0.0111490272201326
14,"On November 2, 2022, Poland's Minister of National Defence Mariusz Blaszczak announces the construction of a barrier along the border with the Russian exclave of Kaliningrad, as Poland believes that Russia will use the border to illegally transport African and Asian immigrants to Europe.","On November 2, 2022, Poland’s Minister of National Defence announced the creation of a barrier along the border of a Russian exclave. Poland believes Russia will use the border to transport illegal immigrants to Europe.",Human 1 Writing,Splittings,88.0,80.0,85.0,0.5177863650612113,0.6011847894372679,1.2940389140784416
59,"Divided into sections pertaining to each season and covering self-reliance, growing and gardening, cooking, health and beauty, and wilderness, and with photos and illustrations evocative of the great outdoors, A Wilder Life shows that getting in touch with nature is possible.","The book is divided into sections for each season and covers things like self-reliance, growing and gardening, cooking, health and beauty, and wilderness. A Wilder Life shows that it is possible to get in touch with nature and have fun with it.",Muss,Splittings,88.0,55.0,45.0,0.5177863650612113,-0.8153516008216519,-1.2380409930552916
33,"The film centers on a reclusive wealthy family who has spent months living in virtual isolation in the family mansion to prevent their community from finding out that daughter Hélène has gotten pregnant from a one-night stand, only to have their fragile equilibrium challenged when Hélène abandons the house soon after the baby's birth to look for the father.","The film follows an isolated wealthy family. In order to stop their community from knowing that the daughter Hélène is pregnant after a one-night stand, they do not leave their mansion for months. When Hélène gives birth and runs away from the home to look for the father, the fragile balance of the home breaks.",Human 2 Writing,Splittings,84.0,75.0,90.0,0.23644120277162,0.317877511385484,0.4411829342823797
55,"A Morning Consult poll in mid-November 2022 found that only 28% of Americans supported having an impeachment investigation or investigations into Hunter Biden's business dealings to be a top congressional priority, though it also found more than half of self-identified Republicans supported it as a top congressional priority.","A Morning Consult poll in mid-November 2022 found that only 28% of Americans supported having an impeachment investigation or investigations into Hunter Biden's business dealings to be a top congressional priority, while more than half of Republicans said it was a top congressional priority.",Muss,Paraphrases,70.0,60.0,80.0,-0.7482668652419494,-0.5320443227698679,-0.2975339135087176
